line      word           num
2         program        1
2         example1       34
2         ;              40
3         const          7
4         a              34
4         :=             49
4         1              35
4         ;              40
4         b              34
4         :=             49
4         3              35
4         ;              40
5         var            2
6         a              34
6         ,              41
6         b              34
6         ,              41
6         c              34
6         :              45
6         integer        3
6         ;              40
7         x              34
7         :              45
7         char           6
7         ;              40
8         begin          8
9         while          12
9         a              34
9         >              29
9         b              34
9         do             13
9         c              34
9         :=             49
9         5              35
9         ;              40
10        x              34
10        :=             49
10        c              37
10        ;              40
11        a              34
11        :=             49
11        52             35
11        ;              40
12        if             9
12        (              46
12        a              34
12        +              24
12        c              34
12        *              26
12        3              35
12        >              29
12        b              34
12        )              47
12        and            34
12        (              46
12        b              34
12        >              29
12        3              35
12        )              47
12        then           10
12        c              34
12        :=             49
12        3              35
12        ;              40
13        x              34
13        :=             49
13        2              35
13        +              24
13        (              46
13        3              35
13        *              26
13        a              34
13        )              47
13        -              25
13        b              34
13        *              26
13        c              34
13        +              24
13        8              35
13        ;              40
14        for            14
14        x              34
14        :=             49
14        1              35
14        +              24
14        2              35
14        to             15
14        3              35
14        do             13
14        b              34
14        :=             49
14        100            35
14        ;              40
15        while          12
15        a              34
15        >              29
15        b              34
15        do             13
15        c              34
15        :=             49
15        5              35
15        ;              40
16        repeat         50
16        a              34
16        :=             49
16        10             35
16        until          51
16        a              34
16        >              29
16        b              34
16        ;              40
17        end            16
17        .              48
